id,name,aliases,odfw_raw_strings,flags
alder-lake,Alder Lake,,ALDER LK,
alton-baker-canal,Alton Baker Canal,,ALTON BAKER CANAL,
ana-reservoir,Ana Reservoir,,ANA RES,
anson-wright-pond,Anson Wright Pond,,ANSON WRIGHT PD,
antelope-flat-reservoir,Antelope Flat Reservoir,,ANTELOPE FLAT RES,
anthony-lake,Anthony Lake,,ANTHONY LK,
arizona-pond,Arizona Pond,,ARIZONA PD,
baker-pond,Baker Pond,,BAKER PD,
becker-pond,Becker Pond,,BECKER PD,
ben-irving-reservoir,Ben Irving Reservoir,,BEN IRVING RES,
benson-lake,Benson Lake,,BENSON LK,
bethany-pond,Bethany Pond,,BETHANY PD,
big-creek-res-1,Big Creek RES-1,,BIG CREEK RES-1,
big-creek-res-2,Big Creek RES-2,,BIG CREEK RES-2,
bikini-pond,Bikini Pond,,BIKINI PD,
blue-lake,Blue Lake,,BLUE LK,
blue-river,Blue River,,BLUE R,
blue-river-reservoir,Blue River Reservoir,,BLUE RIVER RES,
bradley-lake,Bradley Lake,,BRADLEY LK,
brandon-s-pond,Brandon's Pond,Jd Screen.Sp Pd,BRANDON'S PD (JD SCREEN.SP PD),alt_name
breitenbush-river,Breitenbush River,,BREITENBUSH R,
buck-lake,Buck Lake,,BUCK LK,
bully-creek-reservoir,Bully Creek Reservoir,,BULLY CREEK RES,
burma-pond-little,Burma Pond Little,,"BURMA PD, L",comma_modifier
burns-gravel-pond,Burns Gravel Pond,,BURNS GRAVEL PD,
butterfield-lake,Butterfield Lake,,BUTTERFIELD LK,
campbell-lake,Campbell Lake,,CAMPBELL LK,
canby-pond,Canby Pond,,CANBY PD,
cape-meares-lake,Cape Meares Lake,,CAPE MEARES LK,
carmen-reservoir,Carmen Reservoir,,CARMEN RES,
carter-lake,Carter Lake,,CARTER LK,
century-gravel-pond,Century Gravel Pond,,CENTURY GRAVEL PD,
chickahominy-reservoir,Chickahominy Reservoir,,CHICKAHOMINY RES,
clear-lake,Clear Lake,,CLEAR LK,
clearwater-bay-2,Clearwater BAY-2,,CLEARWATER BAY-2,
cleawox-lake,Cleawox Lake,,CLEAWOX LK,
coffenbury-lake,Coffenbury Lake,,COFFENBURY LK,
commonwealth-lake,Commonwealth Lake,,COMMONWEALTH LK,
cooper-creek-reservoir,Cooper Creek Reservoir,,COOPER CR RES,
cottage-grove-reservoir,Cottage Grove Reservoir,,COTTAGE GROVE RES,
cottonwood-pit,Cottonwood Pit,,COTTONWOOD PIT,
cullaby-lake,Cullaby Lake,,CULLABY LK,
cultus-lake-big,Cultus Lake Big,,"CULTUS LK, B",comma_modifier
cutsforth-pond,Cutsforth Pond,,CUTSFORTH PD,
deadhorse-lake,Deadhorse Lake,,DEADHORSE LK,
deer-lake,Deer Lake,,DEER LK,
detroit-reservoir,Detroit Reservoir,,DETROIT RES,
devil-s-lake,Devil's Lake,,DEVIL'S LK,
devils-lake,Devils Lake,,DEVILS LK,
dexter-reservoir,Dexter Reservoir,,DEXTER RES,
dorena-reservoir,Dorena Reservoir,,DORENA RES,
duncan-reservoir,Duncan Reservoir,,DUNCAN RES,
dune-lake,Dune Lake,,DUNE LK,
east-lake,East Lake,,EAST LK,
eckman-lake,Eckman Lake,,ECKMAN LK,
ee-wilson-pond,Ee Wilson Pond,,EE WILSON PD,
eel-lake,Eel Lake,,EEL LK,
elbow-lake,Elbow Lake,,ELBOW LK,
emigrant-reservoir,Emigrant Reservoir,,EMIGRANT RES,
empire-lake-lower,Empire Lake Lower,,"EMPIRE LK, LWR",comma_modifier
empire-lake-upper,Empire Lake Upper,,"EMPIRE LK, UPR",comma_modifier
estacada-lake,Estacada Lake,,ESTACADA LK,
expo-pond-1-rogue,Expo Pond 1 (Rogue),,EXPO PD 1 (ROGUE),qualifier_kept
fall-creek-reservoir,Fall Creek Reservoir,,FALL CR RES,
fall-creek-willamette-r,Fall Creek (Willamette R),,FALL CR (WILLAMETTE R),qualifier_kept
fall-river,Fall River,,FALL R,
faraday-lake,Faraday Lake,,FARADAY LK,
fish-lake,Fish Lake,,FISH LK,
floras-lake,Floras Lake,,FLORAS LK,
foster-reservoir,Foster Reservoir,,FOSTER RES,
fourmile-lake,Fourmile Lake,,FOURMILE LK,
freeway-lake-east,Freeway Lake East,,"FREEWAY LK, EAST",comma_modifier
frog-lake,Frog Lake,,FROG LK,
galesville-reservoir,Galesville Reservoir,,GALESVILLE RES,
garrison-lake,Garrison Lake,,GARRISON LK,
grande-ronde-lake,Grande Ronde Lake,,GRANDE RONDE LK,
green-peter-reservoir,Green Peter Reservoir,,GREEN PETER RES,
haines-pd-1,Haines PD-1,,HAINES PD-1,
haldeman-pond,Haldeman Pond,,HALDEMAN PD,
harriet-lake,Harriet Lake,,HARRIET LK,
hat-rock-pond,Hat Rock Pond,,HAT ROCK PD,
heart-lake,Heart Lake,,HEART LK,
hebo-lake,Hebo Lake,,HEBO LK,
hemlock-lake,Hemlock Lake,Hemlock Meadow Res,HEMLOCK LK (HEMLOCK MEADOW RES),alt_name
henry-hagg-lake,Henry Hagg Lake,,HENRY HAGG LK,
highway-203-pond,Highway 203 Pond,,HIGHWAY 203 PD,
hills-creek-reservoir,Hills Creek Reservoir,,HILLS CR RES,
hog-creek-pond,Hog Creek Pond,,HOG CR PD,
holbrook-reservoir,Holbrook Reservoir,,HOLBROOK RES,
holliday-park-pond,Holliday Park Pond,,HOLLIDAY PARK PD,
honeymoon-pond,Honeymoon Pond,,HONEYMOON PD,
hosmer-lake,Hosmer Lake,,HOSMER LK,
howard-prairie-reservoir,Howard Prairie Reservoir,,HOWARD PRAIRIE RES,
huddleston-pond,Huddleston Pond,Hampton Pd,HUDDLESTON PD (FMR HAMPTON PD),renamed
hyatt-reservoir-little,Hyatt Reservoir Little,,"HYATT RES, LITTLE",comma_modifier
jubilee-lake,Jubilee Lake,,JUBILEE LK,
junction-city-pond,Junction City Pond,,JUNCTION CITY PD,
kingsley-reservoir-upper,Kingsley Reservoir Upper,,"KINGSLEY RES, UPR",comma_modifier
kinney-lake,Kinney Lake,,KINNEY LK,
krumbo-reservoir,Krumbo Reservoir,,KRUMBO RES,
ladd-pond,Ladd Pond,Peach,LADD (PEACH) PD,alt_name
laird-lake,Laird Lake,,LAIRD LK,
lake-in-the-woods,Lake In The Woods,,LAKE IN THE WOODS,
lake-marie,Lake Marie,,LAKE MARIE,
lake-of-the-woods,Lake Of The Woods,,LAKE OF THE WOODS,
lava-lake-big,Lava Lake Big,,"LAVA LK, B",comma_modifier
leaburg-lake,Leaburg Lake,,LEABURG LK,
lemolo-reservoir,Lemolo Reservoir,,LEMOLO RES,
libby-pond,Libby Pond,,LIBBY PD,
lofton-reservoir,Lofton Reservoir,,LOFTON RES,
long-creek-pond,Long Creek Pond,,LONG CREEK PD,
loon-lake,Loon Lake,,LOON LK,
loren-s-pond,Loren's Pond,,LOREN'S PD,
lost-creek-reservoir,Lost Creek Reservoir,,LOST CREEK RES,
lost-lake,Lost Lake,,LOST LK,
luger-pond,Luger Pond,,LUGER PD,
lytle-lake,Lytle Lake,,LYTLE LK,
magone-lake,Magone Lake,,MAGONE LK,
marr-pond,Marr Pond,,MARR PD,
mcgraw-pond,McGraw Pond,,MCGRAW PD,
mckenzie-r-1-below-leaburg-dam,McKenzie R-1 (below Leaburg Dam),,MCKENZIE R-1 (below Leaburg Dam),qualifier_kept|river_reach
mckenzie-r-2-above-leaburg-dam,McKenzie R-2 (above Leaburg Dam),,MCKENZIE R-2 (above Leaburg Dam),qualifier_kept|river_reach
mcnary-channel-ponds,McNary Channel Ponds,,MCNARY CHANNEL PDS,
medco-pond,Medco Pond,,MEDCO PD,
mercer-lake,Mercer Lake,,MERCER LK,
metolius-pond,Metolius Pond,,METOLIUS PD,
middle-fork-pond-hood-r,Middle Fork Pond (Hood R),,MIDDLE FK PD (HOOD R),qualifier_kept
miller-lake,Miller Lake,,MILLER LK,
morgan-lake,Morgan Lake,,MORGAN LK,
morrow-co-ohv-park-pond-1,Morrow Co Ohv Park Pond #1,Trout Lk,MORROW CO OHV PARK PD #1 (Trout Lk),alt_name
morrow-co-ohv-park-pond-3,Morrow Co Ohv Park Pond #3,O'Brien,MORROW CO OHV PARK PD #3 (O'Brien),alt_name
mt-hood-pond-mhcc-campus,Mt Hood Pond (Mhcc Campus),,MT HOOD PD (MHCC CAMPUS),qualifier_kept
munsel-lake,Munsel Lake,,MUNSEL LK,
murray-reservoir,Murray Reservoir,Hardy Murray Res,MURRAY RES (FMR HARDY MURRAY RES),renamed
nedonna-pond,Nedonna Pond,,NEDONNA PD,
north-fork-reservoir,North Fork Reservoir,,NORTH FORK RES,
north-powder-pd-1,North Powder PD-1,,NORTH POWDER PD-1,
ochoco-reservoir,Ochoco Reservoir,,OCHOCO RES,
olalla-creek-reservoir,Olalla Creek Reservoir,,OLALLA CR RES,
olallie-lake,Olallie Lake,,OLALLIE LK,
olive-lake,Olive Lake,,OLIVE LK,
paulina-lake,Paulina Lake,,PAULINA LK,
penland-lake,Penland Lake,,PENLAND LK,
perkins-lake,Perkins Lake,,PERKINS LK,
pilcher-creek-reservoir,Pilcher Creek Reservoir,,PILCHER CREEK RES,
pine-hollow-reservoir,Pine Hollow Reservoir,,PINE HOLLOW RES,
pine-nursery-pond,Pine Nursery Pond,,PINE NURSERY PD,
plat-i-reservoir,Plat I Reservoir,,PLAT I RES,
powder-r-2,Powder R-2,,POWDER R-2,
powers-pond,Powers Pond,,POWERS PD,
priday-reservoir,Priday Reservoir,,PRIDAY RES,
prineville-fishing-pond,Prineville Fishing Pond,,PRINEVILLE FISHING PD,
progress-lake,Progress Lake,,PROGRESS LK,
quartzville-creek,Quartzville Creek,,QUARTZVILLE CR,
red-top-lake,Red Top Lake,,RED TOP LK,
reinhart-park-pond,Reinhart Park Pond,,REINHART PARK PD,
roaring-river-park-pond,Roaring River Park Pond,,ROARING RVR PARK PD,
rock-creek-reservoir,Rock Creek Reservoir,,ROCK CREEK RES,
rogue-river-above-lost-creek,Rogue River above Lost Creek,,ROGUE R above Lost Creek,river_reach
roulet-pond,Roulet Pond,,ROULET PD,
row-river-nature-park,Row River Nature Park,Cott. Grv. Pd,ROW R NATURE PK-Fmr Cott. Grv. Pd,renamed
rowe-creek-reservoir,Rowe Creek Reservoir,,ROWE CREEK RES,
running-y-pond,Running Y Pond,,RUNNING Y PD,
salish-pond-west,Salish Pond West,,"SALISH PD, W",comma_modifier
salmon-creek,Salmon Creek,,SALMON CR,
salmonberry-lake,Salmonberry Lake,,SALMONBERRY LK,
salt-creek-summit-pond,Salt Creek Summit Pond,,SALT CR SUMMIT PD,
santiam-river-north-fk-2,Santiam River North FK-2,,"SANTIAM R, N FK-2",comma_modifier
saunders-lake,Saunders Lake,,SAUNDERS LK,
selmac-lake,Selmac Lake,,SELMAC LK,
seventh-st-pond,Seventh St Pond,,SEVENTH ST PD,
sheridan-pond,Sheridan Pond,,SHERIDAN PD,
shevlin-pond,Shevlin Pond,,SHEVLIN PD,
siltcoos-lake,Siltcoos Lake,,SILTCOOS LK,
silver-creek-reservoir,Silver Creek Reservoir,,SILVER CR RES,
small-fry-lake,Small Fry Lake,,SMALL FRY LK,
smith-lake,Smith Lake,,SMITH LK,
smith-river-reservoir,Smith River Reservoir,,SMITH R RES,
smock-prairie-reservoir,Smock Prairie Reservoir,,SMOCK PRAIRIE RES,
south-lake,South Lake,,SOUTH LK,
spalding-pond,Spalding Pond,,SPALDING PD,
sprague-pit-pond,Sprague Pit Pond,,SPRAGUE PIT PD,
sru-lake,Sru Lake,Usfs Lk,SRU LK (formerly USFS Lk),renamed
st-louis-pond,St Louis Pond,,ST LOUIS PD,
sunnyside-park-pond,Sunnyside Park Pond,,SUNNYSIDE PARK PD,
sunset-lake-n-coast-range,Sunset Lake (N Coast Range),,SUNSET LK (N COAST RANGE),qualifier_kept
sutton-lake,Sutton Lake,,SUTTON LK,
tahoe-lake,Tahoe Lake,,TAHOE LK,
tatone-pond,Tatone Pond,,TATONE PD,
taylor-green-pond,Taylor Green Pond,,TAYLOR GREEN PD,
taylor-lake,Taylor Lake,,TAYLOR LK,
teepee-pond,Teepee Pond,,TEEPEE PD,
tenmile-lake-north,Tenmile Lake North,,"TENMILE LK, N",comma_modifier
tenmile-lake-south,Tenmile Lake South,,"TENMILE LK, S",comma_modifier
thief-valley-reservoir,Thief Valley Reservoir,,THIEF VALLEY RES,
thissel-pond,Thissel Pond,,THISSEL PD,
thompson-reservoir,Thompson Reservoir,Valley,THOMPSON (VALLEY) RES,alt_name
three-creeks-lake,Three Creeks Lake,,THREE CREEKS LK,
timber-linn-lake,Timber Linn Lake,,TIMBER LINN LK,
timothy-lake,Timothy Lake,,TIMOTHY LK,
tipton-pond-north,Tipton Pond North,,"TIPTON PD, N",comma_modifier
town-lake,Town Lake,,TOWN LK,
trillium-lake,Trillium Lake,,TRILLIUM LK,
trojan-recreation-lake,Trojan Recreation Lake,,TROJAN RECREATION LK,
turner-lake,Turner Lake,,TURNER LK,
twin-lake-north,Twin Lake North,,"TWIN LK, N",comma_modifier
twin-lake-south,Twin Lake South,,"TWIN LK, S",comma_modifier
twin-ponds,Twin Ponds,,TWIN PDS,
umapine-pond,Umapine Pond,,UMAPINE PD,
umatilla-forest-ponds-south,Umatilla Forest Ponds South,,"UMATILLA FOREST PDS, S",comma_modifier
vernonia-lake,Vernonia Lake,,VERNONIA LK,
victor-pond,Victor Pond,,VICTOR PD,
walla-walla-forest-ponds-south,Walla Walla Forest Ponds South,,WALLA WALLA FOREST PDS S,
