zone,source_sentence,note
central,"Devils lake was stocked with rainbow trout in early June and July.",
central,"Haystack Reservoir received stockings of rainbow trout in April and May.",
central,"The lake was last stocked in May with about 3,400 rainbows.",Laurance Lake per section heading
central,"North and South Twin Lakes were stocked in late May and June.",coordinated pair
central,"Ochoco Reservoir was stocked with broodstock rainbow trout over the winter and with legal-sized trout in April.",
central,"No recent reports but the pond was stocked with trout in late April and with largemouth bass in May.",
central,"Prineville Reservoir was stocked with over 100 trophy largemouth bass in May.",
central,"Taylor Lake was last stocked April 2026 with 1,650 trophy size and 50 brood fish.",section updated 7/27/26
southeast,"ANA RESERVOIR: This reservoir was stocked with 3,000 legal rainbow trout.",
southeast,"The lake was stocked with trophy and legal sized rainbow trout in 2026.",
southeast,"Haines pond did rise and was stocked in late April with rainbows.",
southeast,"Juniper Lake was stocked in 2024 with fingerling rainbow trout.",year not a count
southeast,"KRUMBO RESERVOIR: The reservoir was stocked this spring with 13,000 legal rainbow trout.",
southeast,"Lake of the Woods was stocked with trophy and legal rainbow trout two months ago.",
southeast,"Mann Lake was stocked with fingerling Lahontan Cutthroat in October.",
southeast,"MILLER LAKE: The lake was stocked with Trophy and Legal Rainbow Trout.",
southeast,"Poison Creek Reservoir was stocked this week with 700 legal sized rainbows.",section updated 9/3/26
southeast,"Legal trout stocked last spring are now 16-18 inches.",
southeast,"The lakes were stocked in early July 2025 with small rainbow trout fry.",Sky Lakes wilderness; year not a count
southeast,"A total of 302 largemouth bass up to 3 pounds were stocked in Willow Valley Reservoir from Davis Lake in mid-May.",
southwest,"Ben Irving was stocked with rainbow trout in April and again in the middle of May.",
southwest,"The lake was stocked with 800 legal-size rainbow trout on May 21.",
southwest,"The reservoir was last stocked with trout in mid-May with legal rainbows.",Cooper Creek per heading
southwest,"The reservoir was last stocked in Mid-May.",Galesville per heading
southwest,"Both lakes were stocked in mid-June with legal rainbows.",coordinated pair
southwest,"LEMOLO RESERVOIR: The lake was stocked in mid-June with 2,000 larger rainbows.",
southwest,"The reservoir was stocked in Mid-May with rainbow trout.",
southwest,"Little Hyatt Res was stocked with 1,200 legal-sized rainbow trout in April.",
southwest,"The lake was stocked in the middle of April, and again in Mid-May with legal rainbow trout.",
southwest,"The reservoir was stocked in the middle of March with Rainbow trout.",
southwest,"Spalding pond was stocked in April.",
willamette,"It was stocked for the last time in mid-August with 900 hatchery trout.",
willamette,"It was last stocked with 6,900 trophy trout.",Detroit Reservoir per heading
willamette,"It was stocked for the last time in early August with 1,650 hatchery trout.",
willamette,"It was stocked for the last time in mid-August with about 2,000 hatchery trout scattered across several release locations.",
willamette,"It was stocked a couple of times this spring with several thousand hatchery trout.",
