odfw_raw,name,lat,lon,acres,amenities,species,has_camping,coord_note
ALDRICH PDS,Aldrich Ponds,44.41428,-119.44534,8,parking,rainbow,False,
ALTON BAKER CANAL,Alton Baker Canal,44.05661,-123.08177,,accessible,,False,
ANA RES,Ana Reservoir,42.99763,-120.74949,60,boat_ramp+dock+accessible,rainbow,False,
ANTELOPE FLAT RES,Antelope Flat Reservoir,44.04022,-120.3772,170,boat_ramp+camping,rainbow,True,
ANTHONY LK,Anthony Lake,44.95906,-118.22935,22,boat_ramp+camping+bank_access,rainbow+brook,True,
APPLEGATE RES,Applegate Reservoir,42.05084,-123.1256,988,camping,largemouth+smallmouth+crappie,True,
ARIZONA PD,Arizona Pond,42.60882,-124.39133,,camping+bank_access,rainbow,True,
BAKER PD,Baker Pond,45.3432,-121.32356,2,,rainbow+brown+bullhead,False,
BEN IRVING RES,Ben Irving Reservoir,43.05158,-123.59482,250,boat_ramp+restroom+no_motors,rainbow+brown+largemouth+crappie+bluegill+bullhead+perch,False,
BENSON LK,Benson Lake,45.57666,-122.12607,40,camping,rainbow+brown+largemouth+crappie+bullhead,True,
BETHANY PD,Bethany Pond,45.55675,-122.86787,10,accessible+restroom,rainbow+largemouth+crappie+bluegill+bullhead,False,
BIKINI PD,Bikini Pond,45.68336,-121.29017,4,accessible+restroom+camping+bank_access+parking,rainbow,True,
BOLAN LK,Bolan Lake,42.02298,-123.45892,13,boat_ramp,rainbow,False,
BRADLEY LK,Bradley Lake,43.06355,-124.42437,30,boat_ramp+bank_access,rainbow+largemouth,False,
BREITENBUSH R,Breitenbush River,44.78293,-121.98635,,accessible+restroom+camping,rainbow+brook,True,
BUCK LK,Buck Lake,44.06533,-124.0992,5,,rainbow,False,
BULL PRAIRIE RES,Bull Prairie Reservoir,44.97328,-119.66579,27,boat_ramp+camping+no_motors,rainbow+brook,True,
BUTTERFIELD LK,Butterfield Lake,43.51905,-124.2195,50,dock+camping,rainbow+largemouth+bluegill,True,
CAMPBELL LK,Campbell Lake,42.56365,-120.75446,21,boat_ramp+accessible+camping+no_motors,rainbow,True,
CANBY PD,Canby Pond,45.25279,-122.70465,1,restroom,rainbow+largemouth+crappie+bluegill,False,
CAPE MEARES LK,Cape Meares Lake,45.50421,-123.94848,65,,rainbow+brown+largemouth+bluegill+bullhead+steelhead,False,
CARTER LK,Carter Lake,43.85591,-124.14679,28,camping+bank_access,rainbow,True,
CHICKAHOMINY RES,Chickahominy Reservoir,43.54525,-119.61425,530,boat_ramp,rainbow,False,
CLEAR LK,Clear Lake,45.1784,-121.69703,,boat_ramp+camping,rainbow,True,
CLEAWOX LK,Cleawox Lake,43.93181,-124.11221,87,camping+bank_access,rainbow+largemouth+crappie+bluegill+bullhead+perch,True,
COFFENBURY LK,Coffenbury Lake,46.1782,-123.96563,50,boat_ramp+dock+camping+bank_access,rainbow+brown+largemouth+bullhead+perch+steelhead,True,
COMMONWEALTH LK,Commonwealth Lake,45.51122,-122.80925,,accessible+restroom,rainbow+crappie+bluegill,False,
COOPER CR RES,Cooper Creek Reservoir,43.37642,-123.27518,160,boat_ramp+restroom,rainbow+brown+largemouth+crappie+bluegill+bullhead+perch,False,
COTTAGE GROVE RES,Cottage Grove Reservoir,43.71557,-123.06142,1150,boat_ramp+dock+accessible+restroom+parking,rainbow+brown+largemouth+catfish+bullhead,False,
CULLABY LK,Cullaby Lake,46.08569,-123.90767,200,boat_ramp+dock+restroom,rainbow+brown+largemouth+crappie+bullhead+perch,False,
"CULTUS LK, B",Big Cultus Lake,43.82883,-121.83799,785,camping,rainbow+brook,True,
CUTSFORTH PD,Cutsforth Pond,45.19071,-119.32364,2,dock+accessible+restroom+camping,rainbow,True,
DEADHORSE LK,Deadhorse Lake,42.55689,-120.77702,31,accessible+camping+no_motors,rainbow,True,
DEVIL'S LK,Devil's Lake,44.97032,-124.00912,680,,rainbow,False,
DEVILS LK,Devils Lake,44.03462,-121.76475,23,camping,rainbow+brook,True,
DEXTER RES,Dexter Reservoir,43.91793,-122.81316,1025,,rainbow,False,
DORENA RES,Dorena Reservoir,43.7714,-122.93547,1840,camping,rainbow+brown+largemouth+crappie+catfish+bullhead,True,
DORMAN PD,Dorman Pond,45.61331,-123.24546,8,,rainbow,False,
DUNE LK,Dune Lake,44.06678,-124.10079,2,,rainbow,False,
EAST LK,East Lake,43.73147,-121.19616,1050,boat_ramp+camping,rainbow+brown+kokanee,True,
ECKMAN LK,Eckman Lake,44.41538,-124.03481,,restroom,rainbow+cutthroat+largemouth,False,
EE WILSON PD,EE Wilson Pond,44.70752,-123.20802,,accessible,rainbow,False,
EEL LK,Eel Lake,43.60409,-124.17735,355,boat_ramp+accessible+camping,rainbow+cutthroat+largemouth+smallmouth+perch,True,
ELBOW LK,Elbow Lake,43.78783,-124.15117,,boat_ramp+accessible+restroom+camping,rainbow+largemouth+perch,True,
ESTACADA LK,Estacada Lake,45.29753,-122.3492,150,boat_ramp+dock+accessible+restroom+camping,rainbow+steelhead,True,
FALL R,Fall River,43.63607,-121.54175,,,rainbow,False,
FARADAY LK,Faraday Lake,45.26622,-122.31331,25,accessible+bank_access,rainbow+steelhead,False,
FISH LK,Fish Lake,42.73869,-118.64539,20,camping+boat_ramp+accessible,rainbow+brook,True,
FLORAS LK,Floras Lake,42.90168,-124.50213,250,boat_ramp+camping+bank_access,rainbow+cutthroat+largemouth,True,
FOSTER RES,Foster Reservoir,44.4134,-122.6257,,boat_ramp+restroom+parking+dock+camping,rainbow+kokanee,True,
FOURMILE LK,Fourmile Lake,42.45462,-122.24753,740,boat_ramp+accessible+restroom+camping,rainbow+brook+kokanee,True,
"FREEWAY LK, EAST",Freeway Lake East,44.59193,-123.05928,,boat_ramp+restroom+bank_access,rainbow,False,
FROG LK,Frog Lake,45.21678,-121.69659,11,camping,rainbow,True,
GALESVILLE RES,Galesville Reservoir,42.84929,-123.15846,630,boat_ramp+camping,rainbow+brown+cutthroat+kokanee+largemouth+crappie+bluegill+bullhead,True,
GARRISON LK,Garrison Lake,42.75571,-124.5081,134,boat_ramp+bank_access,rainbow+cutthroat+largemouth,False,
GRANDE RONDE LK,Grande Ronde Lake,44.9771,-118.24199,10,boat_ramp+camping+no_motors,rainbow+brook,True,
HARRIET LK,Harriet Lake,45.07219,-121.95923,23,boat_ramp+camping,rainbow,True,
HAT ROCK PD,Hat Rock Pond,45.91521,-119.17248,6,camping,rainbow,True,
HEART LK,Heart Lake,42.25526,-120.83886,19,boat_ramp+restroom+camping+no_motors,rainbow+brown+kokanee+catfish+bullhead+brook,True,
